Group,Task,Date,Start,Finish,Minutes,Duration
Life,Family,2019/03/01,12:00 AM,12:30 AM,30,00:30:00
Life,Family,2019/03/01,11:01 AM,11:59 PM,779,12:59:00
Life,Family,2019/03/02,12:00 AM,1:39 AM,99,01:39:00
Life,Family,2019/03/02,10:35 AM,12:52 PM,137,02:17:00
Life,Family,2019/03/02,10:06 PM,11:59 PM,114,01:54:00
Life,Family,2019/03/03,12:00 AM,1:42 AM,102,01:42:00
Life,Family,2019/03/03,10:12 AM,11:59 PM,828,13:48:00
Life,Family,2019/03/04,12:00 AM,12:39 AM,39,00:39:00
Life,Family,2019/03/04,10:14 AM,11:05 AM,51,00:51:00
Life,Family,2019/03/04,8:10 PM,11:41 PM,211,03:31:00
Life,Family,2019/03/05,3:35 PM,10:40 PM,425,07:05:00
Life,Family,2019/03/06,4:01 PM,11:59 PM,479,07:59:00
Life,Family,2019/03/07,12:00 AM,2:20 AM,140,02:20:00
Life,Family,2019/03/07,11:20 AM,11:59 PM,760,12:40:00
Life,Family,2019/03/08,12:00 AM,1:15 AM,75,01:15:00
Life,Family,2019/03/08,10:21 AM,11:05 AM,44,00:44:00
Life,Family,2019/03/08,8:07 PM,11:59 PM,233,03:53:00
Life,Family,2019/03/09,12:00 AM,12:46 AM,46,00:46:00
Life,Family,2019/03/09,11:05 AM,2:01 PM,176,02:56:00
Life,Family,2019/03/09,10:10 PM,11:59 PM,110,01:50:00
Life,Family,2019/03/10,12:00 AM,12:21 AM,21,00:21:00
Life,Family,2019/03/10,5:15 PM,11:59 PM,405,06:45:00
Life,Family,2019/03/11,12:00 AM,12:28 AM,28,00:28:00
Life,Family,2019/03/11,8:10 PM,11:59 PM,230,03:50:00
Life,Family,2019/03/12,12:00 AM,12:16 AM,16,00:16:00
Life,Family,2019/03/12,3:35 PM,11:59 PM,505,08:25:00
Life,Family,2019/03/13,12:00 AM,1:22 AM,82,01:22:00
Life,Family,2019/03/13,12:00 PM,2:30 PM,150,02:30:00
Life,Family,2019/03/13,10:01 PM,11:59 PM,119,01:59:00
Life,Family,2019/03/14,12:00 AM,1:30 PM,810,13:30:00
Life,Family,2019/03/14,11:18 AM,11:59 PM,762,12:42:00
Life,Family,2019/03/15,12:00 AM,1:05 AM,65,01:05:00
Life,Family,2019/03/15,11:20 AM,1:34 PM,134,02:14:00
Life,Family,2019/03/15,9:59 PM,11:59 PM,121,02:01:00
Life,Family,2019/03/16,12:00 AM,1:20 AM,80,01:20:00
Life,Family,2019/03/16,7:56 AM,11:59 PM,964,16:04:00
Life,Family,2019/03/17,12:00 AM,1:59 AM,119,01:59:00
Life,Family,2019/03/17,10:20 AM,11:59 PM,820,13:40:00
Life,Family,2019/03/18,12:00 AM,12:25 AM,25,00:25:00
Life,Family,2019/03/18,11:29 AM,11:59 PM,751,12:31:00
Life,Family,2019/03/19,12:00 AM,1:37 AM,97,01:37:00
Life,Family,2019/03/19,11:26 AM,11:59 PM,754,12:34:00
Life,Family,2019/03/20,12:00 AM,12:43 AM,43,00:43:00
Life,Family,2019/03/20,11:00 AM,11:59 PM,780,13:00:00
Life,Family,2019/03/21,12:00 AM,2:37 AM,157,02:37:00
Life,Family,2019/03/21,10:31 AM,11:59 PM,809,13:29:00
Life,Family,2019/03/22,12:00 AM,12:09 AM,9,00:09:00
Life,Family,2019/03/22,6:53 AM,8:05 AM,72,01:12:00
Life,Family,2019/03/22,11:36 AM,11:30 PM,714,11:54:00
Life,Family,2019/03/23,10:07 AM,11:59 PM,833,13:53:00
Life,Family,2019/03/24,12:00 AM,1:31 AM,91,01:31:00
Life,Family,2019/03/24,12:09 PM,11:59 PM,711,11:51:00
Life,Family,2019/03/25,12:00 AM,12:09 AM,9,00:09:00
Life,Family,2019/03/25,9:20 AM,11:30 AM,130,02:10:00
Life,Family,2019/03/25,3:51 PM,4:21 PM,30,00:30:00
Life,Family,2019/03/25,8:05 PM,11:27 PM,202,03:22:00
Life,Family,2019/03/26,3:39 PM,11:25 PM,466,07:46:00
