Group,Task,Date,Start,Finish,Minutes,Duration
Media,Writing,2019/02/17,3:50 PM,5:58 PM,128,02:08:00
Media,Writing,2019/02/24,11:59 PM,11:59 PM,1,00:01:00
Media,Writing,2019/02/25,12:00 AM,1:20 AM,80,01:20:00
Life,Family,2019/02/01,6:45 PM,11:08 PM,263,04:23:00
Life,Family,2019/02/02,4:18 PM,11:21 PM,423,07:03:00
Life,Family,2019/02/03,8:51 AM,9:56 AM,65,01:05:00
Life,Family,2019/02/03,7:06 PM,11:50 PM,284,04:44:00
Life,Family,2019/02/04,10:17 AM,12:30 PM,133,02:13:00
Life,Family,2019/02/04,10:05 PM,11:59 PM,115,01:55:00
Life,Family,2019/02/05,12:00 AM,12:13 AM,13,00:13:00
Life,Family,2019/02/05,10:03 AM,10:41 AM,38,00:38:00
Life,Family,2019/02/05,11:12 AM,12:41 PM,89,01:29:00
Life,Family,2019/02/05,10:02 PM,11:59 PM,118,01:58:00
Life,Family,2019/02/06,12:00 AM,12:50 AM,50,00:50:00
Life,Family,2019/02/06,10:50 AM,11:59 PM,790,13:10:00
Life,Family,2019/02/07,12:00 AM,12:41 AM,41,00:41:00
Life,Family,2019/02/07,10:13 AM,10:31 AM,18,00:18:00
Life,Family,2019/02/07,8:30 PM,11:59 PM,210,03:30:00
Life,Family,2019/02/08,12:00 AM,12:28 AM,28,00:28:00
Life,Family,2019/02/08,9:40 AM,11:10 AM,90,01:30:00
Life,Family,2019/02/08,9:31 PM,11:59 PM,149,02:29:00
Life,Family,2019/02/09,12:00 AM,1:42 AM,102,01:42:00
Life,Family,2019/02/09,10:20 AM,11:59 PM,820,13:40:00
Life,Family,2019/02/10,5:23 PM,11:39 PM,376,06:16:00
Life,Family,2019/02/11,4:24 PM,10:55 PM,391,06:31:00
Life,Family,2019/02/12,11:10 AM,12:58 PM,108,01:48:00
Life,Family,2019/02/12,10:11 PM,11:59 PM,109,01:49:00
Life,Family,2019/02/13,12:00 AM,12:30 AM,30,00:30:00
Life,Family,2019/02/13,9:10 AM,10:00 AM,50,00:50:00
Life,Family,2019/02/13,8:10 PM,11:29 PM,199,03:19:00
Life,Family,2019/02/14,2:00 PM,11:59 PM,600,10:00:00
Life,Family,2019/02/15,12:00 AM,1:19 AM,79,01:19:00
Life,Family,2019/02/15,11:12 AM,11:59 PM,768,12:48:00
Life,Family,2019/02/16,12:00 AM,2:50 AM,170,02:50:00
Life,Family,2019/02/16,10:51 AM,11:59 PM,789,13:09:00
Life,Family,2019/02/17,10:45 AM,11:03 AM,18,00:18:00
Life,Family,2019/02/17,3:47 PM,3:50 PM,3,00:03:00
Life,Family,2019/02/17,7:01 PM,8:32 PM,91,01:31:00
Life,Family,2019/02/17,10:20 PM,11:59 PM,100,01:40:00
Life,Family,2019/02/18,12:00 AM,1:58 AM,118,01:58:00
Life,Family,2019/02/18,11:14 AM,12:48 PM,94,01:34:00
Life,Family,2019/02/18,10:01 PM,11:59 PM,119,01:59:00
Life,Family,2019/02/19,12:00 AM,1:38 AM,98,01:38:00
Life,Family,2019/02/19,11:00 AM,11:55 PM,775,12:55:00
Life,Family,2019/02/20,9:08 AM,11:12 AM,124,02:04:00
Life,Family,2019/02/20,4:30 PM,11:51 PM,441,07:21:00
Life,Family,2019/02/21,10:02 AM,10:32 AM,30,00:30:00
Life,Family,2019/02/21,8:42 PM,11:59 PM,198,03:18:00
Life,Family,2019/02/22,12:00 AM,12:40 AM,40,00:40:00
Life,Family,2019/02/22,10:09 AM,11:42 PM,813,13:33:00
Life,Family,2019/02/23,4:30 PM,10:39 PM,369,06:09:00
Life,Family,2019/02/24,1:39 PM,2:02 PM,23,00:23:00
Life,Family,2019/02/24,5:05 PM,11:59 PM,415,06:55:00
Life,Family,2019/02/25,12:00 AM,12:09 AM,9,00:09:00
Life,Family,2019/02/25,10:37 AM,1:08 PM,151,02:31:00
Life,Family,2019/02/25,10:02 PM,11:59 PM,118,01:58:00
Life,Family,2019/02/26,12:00 AM,1:07 AM,67,01:07:00
Life,Family,2019/02/26,11:07 AM,11:59 PM,773,12:53:00
Life,Family,2019/02/27,12:00 AM,1:31 AM,91,01:31:00
Life,Family,2019/02/27,9:35 AM,11:00 AM,85,01:25:00
Life,Family,2019/02/27,9:00 PM,11:59 PM,180,03:00:00
Life,Family,2019/02/28,12:00 AM,12:05 AM,5,00:05:00
Life,Family,2019/02/28,5:58 PM,6:07 PM,9,00:09:00
Life,Family,2019/02/28,6:25 PM,11:59 PM,335,05:35:00
Projects,Automation,2019/02/01,12:00 AM,1:51 AM,111,01:51:00
Projects,Automation,2019/02/01,11:15 AM,12:29 PM,74,01:14:00
Projects,Automation,2019/02/01,2:51 PM,3:07 PM,16,00:16:00
Projects,Automation,2019/02/01,3:39 PM,6:09 PM,150,02:30:00
Projects,Automation,2019/02/01,9:40 PM,10:16 PM,36,00:36:00
Projects,Automation,2019/02/02,12:27 PM,2:30 PM,123,02:03:00
Projects,Automation,2019/02/03,10:09 AM,1:49 PM,220,03:40:00
Projects,Automation,2019/02/04,4:17 PM,4:43 PM,26,00:26:00
Projects,Automation,2019/02/05,6:24 PM,8:17 PM,113,01:53:00
Work,Client,2019/02/04,1:18 PM,2:26 PM,68,01:08:00
Work,Client,2019/02/04,2:39 PM,3:59 PM,80,01:20:00
Work,Client,2019/02/04,4:00 PM,4:11 PM,11,00:11:00
Work,Client,2019/02/04,4:43 PM,5:24 PM,41,00:41:00
Work,Client,2019/02/04,5:29 PM,5:36 PM,7,00:07:00
Work,Client,2019/02/05,1:41 PM,3:11 PM,90,01:30:00
Work,Client,2019/02/05,4:40 PM,5:52 PM,72,01:12:00
Work,Client,2019/02/07,11:02 AM,11:13 AM,11,00:11:00
Work,Client,2019/02/07,2:47 PM,3:06 PM,19,00:19:00
Work,Client,2019/02/07,3:17 PM,4:07 PM,50,00:50:00
Work,Client,2019/02/07,4:38 PM,4:51 PM,13,00:13:00
Work,Client,2019/02/10,11:29 AM,11:40 AM,11,00:11:00
Life,Sleeping,2019/02/01,2:06 AM,7:47 AM,341,05:41:00
Life,Sleeping,2019/02/02,12:06 AM,9:05 AM,539,08:59:00
Life,Sleeping,2019/02/03,12:49 AM,8:51 AM,482,08:02:00
Life,Sleeping,2019/02/04,1:00 AM,10:17 AM,557,09:17:00
Life,Sleeping,2019/02/05,12:34 AM,10:03 AM,569,09:29:00
Life,Sleeping,2019/02/06,12:50 AM,9:58 AM,548,09:08:00
Life,Sleeping,2019/02/07,12:41 AM,9:11 AM,510,08:30:00
Life,Sleeping,2019/02/08,1:00 AM,9:40 AM,520,08:40:00
Life,Sleeping,2019/02/09,1:55 AM,9:37 AM,462,07:42:00
Life,Sleeping,2019/02/10,2:00 AM,8:07 AM,367,06:07:00
Life,Sleeping,2019/02/11,1:21 AM,10:16 AM,535,08:55:00
Life,Sleeping,2019/02/12,1:30 AM,11:10 AM,580,09:40:00
Life,Sleeping,2019/02/13,3:10 AM,9:10 AM,360,06:00:00
Life,Sleeping,2019/02/14,1:06 AM,7:00 AM,354,05:54:00
Life,Sleeping,2019/02/15,1:19 AM,11:12 AM,593,09:53:00
Life,Sleeping,2019/02/16,2:50 AM,10:51 AM,481,08:01:00
Life,Sleeping,2019/02/17,2:29 AM,9:14 AM,405,06:45:00
Life,Sleeping,2019/02/18,2:29 AM,2:35 AM,6,00:06:00
Life,Sleeping,2019/02/18,2:47 AM,2:53 AM,6,00:06:00
Life,Sleeping,2019/02/18,3:15 AM,11:13 AM,478,07:58:00
Life,Sleeping,2019/02/19,3:30 AM,11:00 AM,450,07:30:00
Life,Sleeping,2019/02/20,1:21 AM,9:08 AM,467,07:47:00
Life,Sleeping,2019/02/21,1:50 AM,10:02 AM,492,08:12:00
Life,Sleeping,2019/02/22,12:40 AM,9:59 AM,559,09:19:00
Life,Sleeping,2019/02/23,1:18 AM,9:12 AM,474,07:54:00
Life,Sleeping,2019/02/24,1:05 AM,9:59 AM,534,08:54:00
Life,Sleeping,2019/02/25,1:27 AM,9:52 AM,505,08:25:00
Life,Sleeping,2019/02/26,2:05 AM,11:07 AM,542,09:02:00
Life,Sleeping,2019/02/27,2:09 AM,9:35 AM,446,07:26:00
Life,Sleeping,2019/02/28,2:00 AM,8:15 AM,375,06:15:00
Projects,Blog,2019/02/02,2:30 PM,3:30 PM,60,01:00:00
Projects,Blog,2019/02/02,4:50 PM,5:05 PM,15,00:15:00
Projects,Blog,2019/02/04,7:16 PM,9:16 PM,120,02:00:00
Projects,Blog,2019/02/08,6:26 PM,8:21 PM,115,01:55:00
Projects,Blog,2019/02/13,9:08 PM,9:48 PM,40,00:40:00
