Group,Task,Date,Start,Finish,Minutes,Duration
Life,Family,2019/06/01,6:11 PM,11:59 PM,349,05:49:00
Life,Family,2019/06/02,12:00 AM,1:10 AM,70,01:10:00
Life,Family,2019/06/02,10:19 AM,1:37 PM,198,03:18:00
Life,Family,2019/06/02,3:06 PM,5:39 PM,153,02:33:00
Life,Family,2019/06/02,8:44 PM,11:59 PM,196,03:16:00
Life,Family,2019/06/03,12:00 AM,1:39 AM,99,01:39:00
Life,Family,2019/06/03,10:50 AM,1:30 PM,160,02:40:00
Life,Family,2019/06/03,10:20 PM,11:59 PM,100,01:40:00
Life,Family,2019/06/04,12:00 AM,1:56 AM,116,01:56:00
Life,Family,2019/06/04,11:15 AM,11:59 PM,765,12:45:00
Life,Family,2019/06/05,12:00 AM,12:56 AM,56,00:56:00
Life,Family,2019/06/05,10:22 AM,12:50 PM,148,02:28:00
Life,Family,2019/06/05,10:01 PM,11:59 PM,119,01:59:00
Life,Family,2019/06/06,12:00 AM,1:58 AM,118,01:58:00
Life,Family,2019/06/06,9:48 AM,11:49 PM,841,14:01:00
Life,Family,2019/06/07,9:34 AM,10:03 AM,29,00:29:00
Life,Family,2019/06/07,7:44 PM,11:35 PM,231,03:51:00
Life,Family,2019/06/08,12:37 PM,11:59 PM,683,11:23:00
Life,Family,2019/06/09,12:00 AM,12:21 AM,21,00:21:00
Life,Family,2019/06/09,7:51 AM,8:26 AM,35,00:35:00
Life,Family,2019/06/09,6:29 PM,11:25 PM,296,04:56:00
Life,Family,2019/06/10,4:42 PM,11:59 PM,438,07:18:00
Life,Family,2019/06/11,12:00 AM,12:20 AM,20,00:20:00
Life,Family,2019/06/11,10:09 AM,11:59 PM,831,13:51:00
Life,Family,2019/06/12,12:00 AM,12:27 AM,27,00:27:00
Life,Family,2019/06/12,10:54 AM,12:31 PM,97,01:37:00
Life,Family,2019/06/12,9:59 PM,11:59 PM,121,02:01:00
Life,Family,2019/06/13,12:00 AM,2:02 AM,122,02:02:00
Life,Family,2019/06/13,10:01 AM,11:20 AM,79,01:19:00
Life,Family,2019/06/13,12:36 PM,11:59 PM,684,11:24:00
Life,Family,2019/06/14,12:00 AM,1:37 AM,97,01:37:00
Life,Family,2019/06/14,10:54 AM,1:00 PM,126,02:06:00
Life,Family,2019/06/14,10:01 PM,11:59 PM,119,01:59:00
