Group,Task,Date,Start,Finish,Minutes,Duration
Life,Family,2019/08/01,6:09 AM,11:59 PM,1071,17:51:00
Life,Family,2019/08/02,12:00 AM,2:27 AM,147,02:27:00
Life,Family,2019/08/02,10:10 AM,11:53 PM,823,13:43:00
Life,Family,2019/08/03,9:15 AM,11:59 PM,885,14:45:00
Life,Family,2019/08/04,12:00 AM,1:22 AM,82,01:22:00
Life,Family,2019/08/04,9:32 AM,11:32 PM,840,14:00:00
Life,Family,2019/08/05,6:31 AM,11:59 PM,1049,17:29:00
Life,Family,2019/08/06,12:00 AM,1:02 AM,62,01:02:00
Life,Family,2019/08/06,10:13 AM,10:57 PM,764,12:44:00
Life,Family,2019/08/07,4:32 PM,11:57 PM,445,07:25:00
Life,Family,2019/08/08,9:29 AM,11:59 PM,871,14:31:00
Life,Family,2019/08/09,12:00 AM,12:02 AM,2,00:02:00
Life,Family,2019/08/09,9:27 AM,10:30 AM,63,01:03:00
Life,Family,2019/08/09,8:29 PM,11:55 PM,206,03:26:00
Life,Family,2019/08/10,3:53 PM,10:46 PM,413,06:53:00
Life,Family,2019/08/11,7:49 AM,8:20 AM,31,00:31:00
Life,Family,2019/08/11,5:15 PM,11:17 PM,362,06:02:00
Life,Family,2019/08/12,8:46 AM,11:59 PM,914,15:14:00
Life,Family,2019/08/13,12:00 AM,12:33 AM,33,00:33:00
Life,Family,2019/08/13,9:36 AM,11:59 PM,864,14:24:00
Life,Family,2019/08/14,12:00 AM,12:12 AM,12,00:12:00
Life,Family,2019/08/14,8:48 AM,12:57 PM,249,04:09:00
Life,Family,2019/08/14,10:41 PM,11:59 PM,79,01:19:00
Life,Family,2019/08/15,12:00 AM,1:13 AM,73,01:13:00
Life,Family,2019/08/15,10:53 AM,11:16 PM,743,12:23:00
Life,Family,2019/08/16,6:00 PM,11:40 PM,340,05:40:00
Life,Family,2019/08/17,5:56 PM,11:59 PM,364,06:04:00
Life,Family,2019/08/18,12:00 AM,12:22 AM,22,00:22:00
Life,Family,2019/08/18,9:31 AM,11:17 AM,106,01:46:00
Life,Family,2019/08/18,4:41 PM,11:59 PM,439,07:19:00
Life,Family,2019/08/19,12:00 AM,12:56 AM,56,00:56:00
Life,Family,2019/08/19,9:20 AM,11:59 PM,880,14:40:00
Life,Family,2019/08/20,12:00 AM,1:26 AM,86,01:26:00
Life,Family,2019/08/20,10:24 AM,11:35 PM,791,13:11:00
Life,Family,2019/08/21,5:49 PM,10:47 PM,298,04:58:00
Life,Family,2019/08/22,4:18 PM,6:44 PM,146,02:26:00
Life,Family,2019/08/22,6:44 PM,10:41 PM,237,03:57:00
Life,Family,2019/08/23,5:40 PM,11:40 PM,360,06:00:00
Life,Family,2019/08/24,8:24 PM,11:59 PM,216,03:36:00
Life,Family,2019/08/25,12:00 AM,2:05 AM,125,02:05:00
Life,Family,2019/08/25,10:23 AM,11:59 PM,817,13:37:00
Life,Family,2019/08/26,12:00 AM,12:21 AM,21,00:21:00
Life,Family,2019/08/26,9:36 AM,11:54 AM,138,02:18:00
Life,Family,2019/08/26,7:15 PM,11:38 PM,263,04:23:00
