Group,Task,Date,Start,Finish,Minutes,Duration
Life,Family,2019/10/01,12:00 AM,12:32 AM,32,00:32:00
Life,Family,2019/10/01,9:34 AM,11:16 AM,102,01:42:00
Life,Family,2019/10/01,9:10 PM,11:59 PM,170,02:50:00
Life,Family,2019/10/02,12:00 AM,12:29 AM,29,00:29:00
Life,Family,2019/10/02,12:29 AM,1:10 AM,41,00:41:00
Life,Family,2019/10/02,10:21 AM,2:10 PM,229,03:49:00
Life,Family,2019/10/02,4:49 PM,6:10 PM,81,01:21:00
Life,Family,2019/10/02,11:44 PM,11:59 PM,16,00:16:00
Life,Family,2019/10/03,12:00 AM,2:37 AM,157,02:37:00
Life,Family,2019/10/03,10:57 AM,11:59 PM,783,13:03:00
Life,Family,2019/10/04,12:00 AM,12:41 AM,41,00:41:00
Life,Family,2019/10/04,11:10 AM,11:59 PM,770,12:50:00
Life,Family,2019/10/05,12:00 AM,12:16 AM,16,00:16:00
Life,Family,2019/10/05,3:07 PM,11:59 PM,533,08:53:00
Life,Family,2019/10/06,12:00 AM,1:25 AM,85,01:25:00
Life,Family,2019/10/06,12:16 PM,11:59 PM,704,11:44:00
Life,Family,2019/10/07,12:00 AM,12:16 AM,16,00:16:00
Life,Family,2019/10/07,8:47 AM,9:59 AM,72,01:12:00
Life,Family,2019/10/07,3:43 PM,11:59 PM,497,08:17:00
Life,Family,2019/10/08,12:00 AM,1:14 AM,74,01:14:00
Life,Family,2019/10/08,10:26 AM,1:24 PM,178,02:58:00
Life,Family,2019/10/08,5:46 PM,11:48 PM,362,06:02:00
Life,Family,2019/10/09,6:30 AM,6:59 AM,29,00:29:00
Life,Family,2019/10/09,4:15 PM,11:59 PM,465,07:45:00
Life,Family,2019/10/10,12:00 AM,12:44 AM,44,00:44:00
Life,Family,2019/10/10,10:20 AM,11:59 PM,820,13:40:00
Life,Family,2019/10/11,12:00 AM,12:15 AM,15,00:15:00
Life,Family,2019/10/11,5:25 PM,11:59 PM,395,06:35:00
Life,Family,2019/10/12,12:00 AM,12:32 AM,32,00:32:00
Life,Family,2019/10/12,10:52 AM,5:01 PM,369,06:09:00
Life,Family,2019/10/12,11:55 PM,11:59 PM,5,00:05:00
Life,Family,2019/10/13,12:00 AM,2:27 AM,147,02:27:00
Life,Family,2019/10/13,11:44 AM,10:54 PM,670,11:10:00
Life,Family,2019/10/14,6:27 AM,6:54 AM,27,00:27:00
Life,Family,2019/10/14,4:29 PM,11:59 PM,451,07:31:00
Life,Family,2019/10/15,12:00 AM,1:57 AM,117,01:57:00
Life,Family,2019/10/15,11:41 AM,2:27 PM,166,02:46:00
Life,Family,2019/10/15,10:50 PM,11:59 PM,70,01:10:00
Life,Family,2019/10/16,12:00 AM,12:57 AM,57,00:57:00
Life,Family,2019/10/16,10:02 AM,3:49 PM,347,05:47:00
Life,Family,2019/10/16,11:10 PM,11:59 PM,50,00:50:00
Life,Family,2019/10/17,12:00 AM,2:39 AM,159,02:39:00
Life,Family,2019/10/17,11:03 AM,11:59 PM,777,12:57:00
Life,Family,2019/10/18,12:00 AM,12:14 AM,14,00:14:00
Life,Family,2019/10/18,9:04 AM,10:05 AM,61,01:01:00
Life,Family,2019/10/18,6:00 PM,11:59 PM,360,06:00:00
Life,Family,2019/10/19,12:00 AM,12:56 AM,56,00:56:00
Life,Family,2019/10/19,11:00 AM,5:09 PM,369,06:09:00
Life,Family,2019/10/19,10:51 PM,11:59 PM,69,01:09:00
Life,Family,2019/10/20,12:00 AM,1:00 AM,60,01:00:00
Life,Family,2019/10/20,10:22 AM,11:07 AM,45,00:45:00
Life,Family,2019/10/20,7:51 PM,11:59 PM,249,04:09:00
Life,Family,2019/10/21,12:00 AM,1:28 AM,88,01:28:00
Life,Family,2019/10/21,10:44 AM,3:31 PM,287,04:47:00
Life,Family,2019/10/21,10:11 PM,10:24 PM,13,00:13:00
Life,Family,2019/10/21,10:33 PM,11:59 PM,87,01:27:00
Life,Family,2019/10/22,12:00 AM,1:00 AM,60,01:00:00
Life,Family,2019/10/22,7:53 AM,3:46 PM,473,07:53:00
Life,Family,2019/10/22,5:49 PM,10:57 PM,308,05:08:00
Life,Family,2019/10/23,2:37 PM,11:59 PM,563,09:23:00
Life,Family,2019/10/24,12:00 AM,12:34 AM,34,00:34:00
Life,Family,2019/10/24,10:14 AM,11:30 AM,76,01:16:00
Life,Family,2019/10/24,4:11 PM,11:31 PM,440,07:20:00
Life,Family,2019/10/25,10:58 AM,11:14 PM,736,12:16:00
Life,Family,2019/10/26,2:07 PM,11:59 PM,593,09:53:00
Life,Family,2019/10/27,12:00 AM,12:13 AM,13,00:13:00
Life,Family,2019/10/27,11:04 AM,11:26 PM,742,12:22:00
Life,Family,2019/10/28,6:39 PM,11:18 PM,279,04:39:00
Life,Family,2019/10/29,10:01 AM,10:31 AM,30,00:30:00
Life,Family,2019/10/29,7:07 PM,11:59 PM,293,04:53:00
Life,Family,2019/10/30,12:00 AM,12:07 AM,7,00:07:00
Life,Family,2019/10/30,10:36 AM,10:18 PM,702,11:42:00
Life,Family,2019/10/31,4:10 PM,11:59 PM,470,07:50:00
Projects,Automation,2019/10/01,12:32 AM,1:56 AM,84,01:24:00
Projects,Automation,2019/10/01,8:57 PM,10:14 PM,77,01:17:00
Projects,Automation,2019/10/08,11:48 PM,11:59 PM,12,00:12:00
Projects,Automation,2019/10/09,12:00 AM,12:35 AM,35,00:35:00
Projects,Automation,2019/10/15,7:05 PM,7:50 PM,45,00:45:00
Projects,Automation,2019/10/28,10:00 PM,10:56 PM,56,00:56:00
Projects,Automation,2019/10/29,12:33 AM,1:00 AM,27,00:27:00
Projects,Automation,2019/10/30,12:23 AM,1:05 AM,42,00:42:00
Projects,Automation,2019/10/31,2:50 PM,5:31 PM,161,02:41:00
Life,Sleeping,2019/10/01,2:00 AM,9:34 AM,454,07:34:00
Life,Sleeping,2019/10/02,3:00 AM,10:21 AM,441,07:21:00
Life,Sleeping,2019/10/03,5:00 AM,10:57 AM,357,05:57:00
Life,Sleeping,2019/10/04,1:30 AM,11:10 AM,580,09:40:00
Life,Sleeping,2019/10/05,2:00 AM,10:25 AM,505,08:25:00
Life,Sleeping,2019/10/06,2:16 AM,12:16 PM,600,10:00:00
Life,Sleeping,2019/10/07,2:10 AM,8:47 AM,397,06:37:00
Life,Sleeping,2019/10/08,1:44 AM,10:26 AM,522,08:42:00
Life,Sleeping,2019/10/10,2:03 AM,10:20 AM,497,08:17:00
Life,Sleeping,2019/10/11,2:09 AM,9:26 AM,437,07:17:00
Life,Sleeping,2019/10/12,1:04 AM,10:52 AM,588,09:48:00
Life,Sleeping,2019/10/14,1:00 AM,6:27 AM,327,05:27:00
Life,Sleeping,2019/10/15,2:30 AM,11:41 AM,551,09:11:00
Life,Sleeping,2019/10/16,1:06 AM,10:02 AM,536,08:56:00
Life,Sleeping,2019/10/17,2:39 AM,11:03 AM,504,08:24:00
Life,Sleeping,2019/10/18,12:14 AM,9:04 AM,530,08:50:00
Life,Sleeping,2019/10/19,12:00 AM,11:00 AM,660,11:00:00
Life,Sleeping,2019/10/20,2:42 AM,9:59 AM,437,07:17:00
Life,Sleeping,2019/10/21,2:58 AM,10:44 AM,466,07:46:00
Life,Sleeping,2019/10/22,2:09 AM,7:53 AM,344,05:44:00
Life,Sleeping,2019/10/23,1:09 AM,6:59 AM,350,05:50:00
Life,Sleeping,2019/10/24,2:00 AM,10:14 AM,494,08:14:00
Life,Sleeping,2019/10/25,1:49 AM,10:58 AM,549,09:09:00
Life,Sleeping,2019/10/26,2:34 AM,10:01 AM,447,07:27:00
Life,Sleeping,2019/10/27,12:13 AM,11:04 AM,651,10:51:00
Life,Sleeping,2019/10/28,1:52 AM,9:00 AM,428,07:08:00
Life,Sleeping,2019/10/29,1:00 AM,10:01 AM,541,09:01:00
Life,Sleeping,2019/10/30,1:29 AM,10:36 AM,547,09:07:00
Life,Sleeping,2019/10/31,12:29 AM,11:16 AM,647,10:47:00
Projects,Blog,2019/10/19,10:51 PM,11:10 PM,19,00:19:00
Life,Accounting,2019/10/28,10:47 AM,11:55 AM,68,01:08:00
