Group,Task,Date,Start,Finish,Minutes,Duration
Life,Family,2019/07/01,10:59 AM,1:59 PM,180,03:00:00
Life,Family,2019/07/01,10:57 PM,11:59 PM,63,01:03:00
Life,Family,2019/07/02,12:00 AM,1:02 AM,62,01:02:00
Life,Family,2019/07/02,10:46 AM,11:59 PM,794,13:14:00
Life,Family,2019/07/03,12:00 AM,2:11 AM,131,02:11:00
Life,Family,2019/07/03,10:41 AM,11:59 PM,799,13:19:00
Life,Family,2019/07/04,12:00 AM,1:35 AM,95,01:35:00
Life,Family,2019/07/04,10:45 AM,11:59 PM,795,13:15:00
Life,Family,2019/07/05,12:00 AM,1:26 AM,86,01:26:00
Life,Family,2019/07/05,11:25 AM,1:11 PM,106,01:46:00
Life,Family,2019/07/05,10:12 PM,11:59 PM,108,01:48:00
Life,Family,2019/07/06,12:00 AM,12:22 AM,22,00:22:00
Life,Family,2019/07/06,10:24 AM,11:04 AM,40,00:40:00
Life,Family,2019/07/06,8:13 PM,11:59 PM,227,03:47:00
Life,Family,2019/07/07,12:00 AM,2:27 AM,147,02:27:00
Life,Family,2019/07/07,11:07 AM,11:09 PM,722,12:02:00
Life,Family,2019/07/08,3:25 PM,11:59 PM,515,08:35:00
Life,Family,2019/07/09,12:00 AM,12:44 AM,44,00:44:00
Life,Family,2019/07/09,10:57 AM,11:59 PM,783,13:03:00
Life,Family,2019/07/10,12:00 AM,12:50 AM,50,00:50:00
Life,Family,2019/07/10,10:44 AM,1:38 PM,174,02:54:00
Life,Family,2019/07/10,10:00 PM,11:59 PM,120,02:00:00
Life,Family,2019/07/11,12:00 AM,1:59 AM,119,01:59:00
Life,Family,2019/07/11,11:27 AM,11:59 PM,753,12:33:00
Life,Family,2019/07/12,12:00 AM,1:47 AM,107,01:47:00
Life,Family,2019/07/12,11:22 AM,1:03 PM,101,01:41:00
Life,Family,2019/07/12,10:35 PM,11:44 PM,69,01:09:00
Life,Family,2019/07/13,5:15 PM,11:59 PM,405,06:45:00
Life,Family,2019/07/14,12:00 AM,12:03 AM,3,00:03:00
Life,Family,2019/07/14,4:59 PM,10:39 PM,340,05:40:00
Life,Family,2019/07/15,4:29 PM,11:59 PM,451,07:31:00
Life,Family,2019/07/16,12:00 AM,12:16 AM,16,00:16:00
Life,Family,2019/07/16,10:35 AM,11:59 PM,805,13:25:00
Life,Family,2019/07/17,12:00 AM,12:10 AM,10,00:10:00
Life,Family,2019/07/17,10:06 AM,2:17 PM,251,04:11:00
Life,Family,2019/07/17,10:39 PM,11:59 PM,81,01:21:00
Life,Family,2019/07/18,12:00 AM,12:05 AM,5,00:05:00
